dropped_course,n,term,estimate,std.error,statistic,p.value,conf.low,conf.high
ASTR 4B,1487,post_redesign,0.423039530665882,0.1224661466303004,3.454338544209688,0.0030294949620877027,0.1646585467480552,0.6814205145837089
CE 151,1484,post_redesign,0.3518712556811576,0.11882796784532498,2.961182136339978,0.008748872257931589,0.10116615803881457,0.6025763533235007
CRJ 117,1486,post_redesign,0.36173647261616143,0.12678859592211303,2.8530678960935747,0.011002707672714513,0.09423591784807372,0.6292370273842491
CSC 130,1487,post_redesign,0.40314305277391027,0.12809913948660712,3.1471175715123305,0.005879267206663892,0.13287749277802374,0.6734086127697968
EEE 161,1485,post_redesign,0.3377316389130693,0.11322249992365704,2.982902154084152,0.008353584444837284,0.09885304481290622,0.5766102330132323
EHTN 11,1487,post_redesign,0.3898772512625569,0.12440641122461385,3.133899992972545,0.006048467781648881,0.12740266687852908,0.6523518356465847
ENGL 20,1487,post_redesign,0.3632268639230811,0.12519434940623853,2.9013039777415166,0.009935078136500514,0.09908987528909191,0.6273638525570704
ENGR 106,1487,post_redesign,0.3764430372325246,0.12519875442193507,3.0067634376286656,0.007939362832249134,0.11229675482779822,0.640589319637251
ENGR 140,1483,post_redesign,0.39328448881224864,0.12451084297104206,3.158636464325571,0.0057356031660740275,0.13058957270278626,0.655979404921711
ENGR 17,1485,post_redesign,0.40295229318238107,0.11786366086005787,3.418800080041763,0.0032718813794914725,0.1542817054393681,0.6516228809253941
ENVS 10,1484,post_redesign,0.3958030537852473,0.1259029881791522,3.143714533780914,0.00592238121477604,0.13017096802910821,0.6614351395413864
ETHN 70,1487,post_redesign,0.4369807292190492,0.10912104650317368,4.004550388969556,9.181096409569606e-4,0.20675544543717964,0.6672060130009188
FSHD 50,1485,post_redesign,0.34000403739512175,0.1134398281556585,2.997219256437687,0.008102587680828251,0.10066692080557901,0.5793411539846645
HIST 51,1485,post_redesign,0.3821703985598024,0.12070696447773491,3.166100648900801,0.005644354417913196,0.12750096455170457,0.6368398325679002
JOUR 50,1486,post_redesign,0.37372247728639557,0.1290208355617191,2.89660561923442,0.01003448938795434,0.10151230855320997,0.6459326460195811
MGMT 117,1483,post_redesign,0.3541021555946657,0.12030916369719964,2.9432683655410354,0.009088523122945748,0.1002720078702154,0.607932303319116
PHIL 104,1487,post_redesign,0.3370206409492664,0.11727488401162067,2.873766568090328,0.010531626209020508,0.08959226377295385,0.584449018125579
RPTA 33,1487,post_redesign,0.36041635579320264,0.12480039038828457,2.887942535050244,0.010220322476227332,0.09711054803232061,0.6237221635540846
STAT 1,1482,post_redesign,0.43755663415281343,0.1111073951272186,3.938141414005869,0.0010602523864932639,0.20314052110092617,0.6719727472047007
