model,status,converged,chisq,df,pvalue,cfi,tli,rmsea,srmr
cluster_1_one_at_a_time,ok,TRUE,15.6570896266604,17,0.548260902465396,1,1.00034467283977,0,0.00682069040549271
cluster_2_one_at_a_time,ok,TRUE,13.7553470942222,17,0.684337976107866,1,1.00083260308644,0,0.00630512899810117
cluster_3_one_at_a_time,ok,TRUE,15.9467167935072,17,0.527615353387291,1,1.00027087154123,0,0.00705308782358516
cluster_4_one_at_a_time,ok,TRUE,24.2796942436889,17,0.112032533360608,0.998824661219659,0.998133285466517,0.0165256701300623,0.00891873081583687
cluster_5_one_at_a_time,ok,TRUE,16.584789165967,17,0.48282173835459,1,1.00010623829836,0,0.00698969543448824
cluster_6_one_at_a_time,ok,TRUE,15.2142495385578,17,0.580052685147157,1,1.00045834248104,0,0.00670059946864083
cluster_7_one_at_a_time,ok,TRUE,16.4685718517778,17,0.490893805519589,1,1.00013596277638,0,0.00703106079066792
cluster_8_one_at_a_time,ok,TRUE,24.1447374302716,17,0.115555403595413,0.998845932953198,0.99816706998449,0.0163717704473957,0.00892800640415463
