model,status,lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all
manifest_olse_path_sem_cluster_course,ok,olse_overall_z,~,post_redesign,a_post,0.3919381525801313,0.07301725323063793,5.367747145214094,7.972621851592976e-8,0.2488269659980401,0.5350493391622225,0.3919381525801313,0.1920094668373818
manifest_olse_path_sem_cluster_course,ok,olse_overall_z,~,post_x_mastery_z,a_m,0.21273973738587088,0.07811225815759741,2.7235128314515284,0.006459170644528722,0.05964252464588496,0.3658369501258568,0.21273973738587088,0.12859806798226422
manifest_olse_path_sem_cluster_course,ok,olse_overall_z,~,post_x_social_z,a_s,0.4143595554465564,0.05596763996480569,7.403555978188814,1.325606291402437e-13,0.3046649968158327,0.5240541140772801,0.4143595554465564,0.2646429790740358
manifest_olse_path_sem_cluster_course,ok,olse_overall_z,~,post_x_structural_z,a_c,0.3001906264387118,0.06943834744210332,4.323124577367086,1.5383480894026746e-5,0.16409396630621034,0.4362872865712133,0.3001906264387118,0.1835996789011095
manifest_olse_path_sem_cluster_course,ok,final_numeric_grade_z,~,olse_overall_z,b,0.36934231923984623,0.028170418869793518,13.110998489123759,0,0.31412931282564344,0.424555325654049,0.36934231923984623,0.369342319221089
manifest_olse_path_sem_cluster_course,ok,final_numeric_grade_z,~,post_redesign,c_post,0.20934717343234588,0.05026898241219091,4.164539709910188,3.119813262819626e-5,0.11082177836497432,0.30787256849971745,0.20934717343234588,0.10255862790596296
manifest_olse_path_sem_cluster_course,ok,final_numeric_grade_z,~,post_x_mastery_z,c_m,0.22257774743266023,0.11362121530208726,1.9589453152819023,0.05011919131761866,-1.1574243910197901e-4,0.4452712373044224,0.22257774743266023,0.13454500154013938
manifest_olse_path_sem_cluster_course,ok,final_numeric_grade_z,~,post_x_social_z,c_s,0.3048692486995421,0.1264836694152399,2.4103447512948946,0.015937452623720372,0.05696581201320161,0.5527726853858825,0.3048692486995421,0.1947137579893911
manifest_olse_path_sem_cluster_course,ok,final_numeric_grade_z,~,post_x_structural_z,c_c,0.34078966627592727,0.11327475867450128,3.008522554042225,0.0026252131548858415,0.11877521891643877,0.5628041136354158,0.34078966627592727,0.20843046979907368
manifest_olse_path_sem_cluster_course,ok,olse_overall_z,~~,olse_overall_z,,0.9383343034845372,0.0441929077771464,21.232689829244062,0,0.8517177958692302,1.0249508110998442,0.9383343034845372,0.9389331113531336
manifest_olse_path_sem_cluster_course,ok,final_numeric_grade_z,~~,final_numeric_grade_z,,0.7928596660008231,0.05404434170417242,14.670539801202011,0,0.6869347026924691,0.8987846293091771,0.7928596660008231,0.7933656376244941
manifest_olse_path_sem_cluster_course,ok,post_redesign,~~,post_redesign,,0.23984636437685417,0.006259817676739292,38.31523165093028,0,0.22757734718065797,0.25211538157305036,0.23984636437685417,1
manifest_olse_path_sem_cluster_course,ok,post_redesign,~~,post_x_mastery_z,,5.799059834561749e-4,0.056056115018821406,0.010345097644770167,0.9917459535356159,-0.10928806056666857,0.1104478725335809,5.799059834561749e-4,0.001959493040711269
manifest_olse_path_sem_cluster_course,ok,post_redesign,~~,post_x_social_z,,-0.01209349327150183,0.06185406863020597,-0.19551653657260087,0.844988593175042,-0.13332524008397423,0.10913825354097058,-0.01209349327150183,-0.03867592503253548
manifest_olse_path_sem_cluster_course,ok,post_redesign,~~,post_x_structural_z,,-0.003272962006148169,0.057526655073494116,-0.05689470388929694,0.9546290731651936,-0.11602313410125498,0.10947721008895864,-0.003272962006148169,-0.010930452325969944
manifest_olse_path_sem_cluster_course,ok,post_x_mastery_z,~~,post_x_mastery_z,,0.36516957755002155,0.09579921347310462,3.811822292805587,1.3794603996841737e-4,0.17740656939547225,0.5529325857045708,0.36516957755002155,1
manifest_olse_path_sem_cluster_course,ok,post_x_mastery_z,~~,post_x_social_z,,-0.25097134683807476,0.08188104446376988,-3.065072612124809,0.002176171561529827,-0.41145524500358643,-0.09048744867256306,-0.25097134683807476,-0.6504776200690501
manifest_olse_path_sem_cluster_course,ok,post_x_mastery_z,~~,post_x_structural_z,,0.10173439984946679,0.07668374193888726,1.3266749545235226,0.18461622933672284,-0.04856297255051588,0.25203177224944945,0.10173439984946679,0.2753494880072378
manifest_olse_path_sem_cluster_course,ok,post_x_social_z,~~,post_x_social_z,,0.40765143492869504,0.08453513303841322,4.822272353241061,1.4193196959944032e-6,0.24196561874510317,0.573337251112287,0.40765143492869504,1
manifest_olse_path_sem_cluster_course,ok,post_x_social_z,~~,post_x_structural_z,,-0.24185663311358796,0.09115360664009871,-2.6532864911040677,0.007971218233308264,-0.4205144191891125,-0.06319884703806342,-0.24185663311358796,-0.6195512755579095
manifest_olse_path_sem_cluster_course,ok,post_x_structural_z,~~,post_x_structural_z,,0.37382859564699983,0.08719976356622391,4.287036803294718,1.8107230301378507e-5,0.20292019959679303,0.5447369916972067,0.37382859564699983,1
