model,status,lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all
indirect_only_latent_parcel_sem,ok,OLSE,=~,olse_q1_mean_z,,0.8490172149094888,0.02197749044034709,38.63121757299603,0,0.8059421251758352,0.8920923046431424,0.8798944901555057,0.8801752921221271
indirect_only_latent_parcel_sem,ok,OLSE,=~,olse_q2_mean_z,,0.7920505356319846,0.025241108132325853,31.37938839609102,0,0.7425788727627448,0.8415221985012243,0.820856032114257,0.8211180032858348
indirect_only_latent_parcel_sem,ok,OLSE,=~,olse_q3_mean_z,,0.8233574985576515,0.027743887741113863,29.677077208523745,0,0.7689804777939461,0.8777345193213569,0.8533015746757628,0.8535738627455941
indirect_only_latent_parcel_sem,ok,OLSE,=~,olse_q4_mean_z,,0.7993813627831126,0.0227090806320999,35.20095664520938,0,0.7548723826221807,0.8438903429440444,0.8284534686624045,0.8287178135146861
indirect_only_latent_parcel_sem,ok,OLSE,=~,olse_q5_mean_z,,0.8186245500145238,0.022591877120638877,36.235348910722735,0,0.7743452845149172,0.8629038155141304,0.848396497049355,0.8486672590140548
indirect_only_latent_parcel_sem,ok,OLSE,~,post_redesign,a_post,0.42905970800826193,0.08151217046737004,5.263750254080375,1.4114615676241726e-7,0.2692987895905273,0.5888206264259965,0.41400313605631645,0.2027543551175928
indirect_only_latent_parcel_sem,ok,OLSE,~,post_x_mastery_z,a_m,0.23737329148250239,0.08024401072846958,2.9581434094281294,0.003094980987533802,0.08009792047965636,0.3946486624853484,0.2290433831364882,0.13840924133407628
indirect_only_latent_parcel_sem,ok,OLSE,~,post_x_social_z,a_s,0.45734811881190984,0.0557928500299634,8.19725320657203,2.220446049250313e-16,0.34799614215833713,0.5667000954654825,0.4412988493758577,0.2817586628379757
indirect_only_latent_parcel_sem,ok,OLSE,~,post_x_structural_z,a_c,0.3363398262161847,0.07038979614746342,4.778246913964178,1.7683015423042292e-6,0.19837836088804017,0.4743012915443292,0.32453698223151645,0.19842683263399274
indirect_only_latent_parcel_sem,ok,final_numeric_grade_z,~,OLSE,b,0.415472953344447,0.035520994698273925,11.696546137674352,0,0.34585308304079193,0.4850928236481021,0.43058297998749884,0.43072036937187674
indirect_only_latent_parcel_sem,ok,olse_q1_mean_z,~~,olse_q1_mean_z,,0.22514772878466777,0.00862157091088949,26.114466970316805,0,0.20824976030916617,0.24204569726016936,0.22514772878466777,0.22529145513772822
indirect_only_latent_parcel_sem,ok,olse_q2_mean_z,~~,olse_q2_mean_z,,0.3255573922282074,0.012125511299479036,26.848962009725295,0,0.30179182678709504,0.34932295766931976,0.3255573922282074,0.3257652246798839
indirect_only_latent_parcel_sem,ok,olse_q3_mean_z,~~,olse_q3_mean_z,,0.2712385290837099,0.007133250273868715,38.02453561419818,0,0.2572576154542167,0.28521944271320304,0.2712385290837099,0.2714116608375657
indirect_only_latent_parcel_sem,ok,olse_q4_mean_z,~~,olse_q4_mean_z,,0.3130269909379722,0.01665864047117633,18.790668511010143,0,0.28037665558306524,0.3456773262928792,0.3130269909379722,0.313226785563438
indirect_only_latent_parcel_sem,ok,olse_q5_mean_z,~~,olse_q5_mean_z,,0.27958539813069466,0.013266828936660938,21.074018476118386,0,0.2535828912257854,0.3055879050356039,0.27958539813069466,0.27976388347757136
indirect_only_latent_parcel_sem,ok,final_numeric_grade_z,~~,final_numeric_grade_z,,0.8139604474443144,0.058768971532971344,13.85017341995947,0,0.698775379831231,0.9291455150573978,0.8139604474443144,0.8144799634081541
indirect_only_latent_parcel_sem,ok,OLSE,~~,OLSE,,1,0,,,1,1,0.9310474094299321,0.9310474094299321
indirect_only_latent_parcel_sem,ok,post_redesign,~~,post_redesign,,0.23984635416606007,0.006259817746852014,38.31522959061801,0,0.22757733683244546,0.25211537149967467,0.23984635416606007,1
indirect_only_latent_parcel_sem,ok,post_redesign,~~,post_x_mastery_z,,5.798975899688916e-4,0.056056125040565244,0.01034494606163459,0.9917460744749877,-0.10928808860241283,0.11044788378235061,5.798975899688916e-4,0.0019594645238221937
indirect_only_latent_parcel_sem,ok,post_redesign,~~,post_x_social_z,,-0.012093485679387199,0.061854064839216225,-0.19551642581329243,0.8449886798751174,-0.13332522506165626,0.10913825370288185,-0.012093485679387199,-0.03867590203948683
indirect_only_latent_parcel_sem,ok,post_redesign,~~,post_x_structural_z,,-0.0032729750989214067,0.05752663802082595,-0.05689494834960658,0.9546288784295236,-0.11602311377141276,0.10947716357356994,-0.0032729750989214067,-0.01093049761830767
indirect_only_latent_parcel_sem,ok,post_x_mastery_z,~~,post_x_mastery_z,,0.3651696510285116,0.09579925218326399,3.8118215195452883,1.379464716060319e-4,0.17740656700344412,0.5529327350535791,0.3651696510285116,1
indirect_only_latent_parcel_sem,ok,post_x_mastery_z,~~,post_x_social_z,,-0.2509713908376311,0.08188106264549243,-3.0650724688835864,0.002176172603802762,-0.4114553246386642,-0.09048745703659802,-0.2509713908376311,-0.6504776764666629
