lhs,op,rhs,est.std,se,z,pvalue,ci.lower,ci.upper
Q1,=~,q1_1,0.6234774197446963,0.018825120217966746,33.1194389478399,0,0.5865808621128447,0.6603739773765479
Q1,=~,q1_2,0.6185905795825252,0.01822214674234193,33.947184617119554,0,0.5828758282465312,0.6543053309185192
Q1,=~,q1_3,0.5840167478348794,0.019404475649554737,30.09701258525275,0,0.5459846744228677,0.6220488212468912
Q1,=~,q1_4,0.6021342653280629,0.01964641270710066,30.648560340506226,0,0.5636280039967355,0.6406405266593903
Q1,=~,q1_5,0.5696260391547029,0.02014405941070405,28.27761910054822,0,0.5301444082072878,0.609107670102118
Q1,=~,q1_6,0.5855348966792192,0.020260811812355513,28.899873415839462,0,0.5458244352294587,0.6252453581289797
Q1,=~,q1_7,0.6053097808799829,0.018903572482800206,32.02091993091444,0,0.568259459634552,0.6423601021254137
Q1,=~,q1_8,0.6366274665640467,0.01817406849094692,35.02944136483094,0,0.6010069468692265,0.6722479862588668
Q2,=~,q2_1,0.5993681446729577,0.019886341862464862,30.139688275411533,0,0.5603916308382755,0.63834465850764
Q2,=~,q2_2,0.6174789195353152,0.019246535657276152,32.08260076154938,0,0.579756402819888,0.6552014362507423
Q2,=~,q2_3,0.6151377929487645,0.019178505241445626,32.074334532569495,0,0.5775486133982184,0.6527269724993106
Q2,=~,q2_4,0.6005197520844613,0.01980336981888155,30.324119459300046,0,0.5617058604669259,0.6393336437019966
Q2,=~,q2_5,0.6301414089890598,0.018863093680840725,33.40604779104159,0,0.593170424737607,0.6671123932405126
Q3,=~,q3_1,0.631790510497596,0.018414878646513748,34.3086980167097,0,0.5956980115707534,0.6678830094244387
Q3,=~,q3_2,0.6140429619510271,0.01863265070406385,32.955212422733936,0,0.5775236376345472,0.6505622862675071
Q3,=~,q3_3,0.5985053294307826,0.019245556107368045,31.098365050706352,0,0.5607847325978964,0.6362259262636688
Q3,=~,q3_4,0.6118570008963986,0.01931589746595171,31.67634338372959,0,0.5739985375340648,0.6497154642587324
Q3,=~,q3_5,0.6090252178358018,0.019072425617118152,31.932237150222825,0,0.5716439505284311,0.6464064851431724
Q3,=~,q3_6,0.5862146789649445,0.019467359153744312,30.112696557108166,0,0.5480593561494995,0.6243700017803895
Q4,=~,q4_1,0.5984760389638368,0.01934763256684391,30.93277882429124,0,0.5605553759467086,0.6363967019809651
Q4,=~,q4_2,0.6153572633472759,0.01894503302369314,32.48119243591154,0,0.5782256809349154,0.6524888457596364
Q4,=~,q4_3,0.5878293342004223,0.02009073246158336,29.258730876260707,0,0.5484522221526892,0.6272064462481554
Q4,=~,q4_4,0.604514785667148,0.019083661924641587,31.6770852499003,0,0.5671114956017121,0.6419180757325839
Q4,=~,q4_5,0.5983717820856546,0.01967090673830709,30.41912556681418,0,0.5598175133353264,0.6369260508359827
Q5,=~,q5_1,0.6547041247412413,0.017954769591891122,36.46407832696021,0,0.6195134229904198,0.6898948264920628
Q5,=~,q5_2,0.5962875214904688,0.019975351019009147,29.851166115830637,0,0.5571365529146655,0.6354384900662722
Q5,=~,q5_3,0.5715799111487111,0.019779416058949242,28.897714141065276,0,0.5328129680379374,0.6103468542594848
Q5,=~,q5_4,0.6234921028744558,0.018726106576961887,33.29534093550004,0,0.5867896084129518,0.6601945973359598
Q5,=~,q5_5,0.6178643147376871,0.01930157659075437,32.011080122524795,0,0.5800339197749671,0.6556947097004071
Q5,=~,q5_6,0.612762946456268,0.019240002434532284,31.848381960517358,0,0.5750532346221219,0.6504726582904142
