analysis,includes_olse,includes_redesign_features,mechanism_path,model,status,lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper,std.all
Full linked LENS SEM,TRUE,TRUE,TRUE,primary_latent_parcel_sem_cluster_course,ok,final_numeric_grade_z,~,OLSE,b,0.37259237409097706,0.03180129253624465,11.71626510671933,0,0.31026298605811514,0.434921762123839,0.38560658338508275
Full linked LENS SEM,TRUE,TRUE,TRUE,primary_latent_parcel_sem_cluster_course,ok,final_numeric_grade_z,~,post_redesign,c_post,0.19730939625550564,0.04925360292335089,4.005989096118737,6.175849805933886e-5,0.1007741084169012,0.2938446840941101,0.09666135350312556
Full linked LENS SEM,TRUE,TRUE,TRUE,primary_latent_parcel_sem_cluster_course,ok,ind_post,:=,a_post*b,ind_post,0.15679794864119848,0.03447999810329637,4.547504561092426,5.428574422650101e-6,0.08921839417172822,0.22437750311066873,0.0768149020259794
Full linked LENS SEM,TRUE,TRUE,TRUE,primary_latent_parcel_sem_cluster_course,ok,ind_mastery,:=,a_m*b,ind_mastery,0.08509044413866158,0.03369734851090263,2.525137671028655,0.01156529726507105,0.01904485468279802,0.15113603359452515,0.05143592975125544
Full linked LENS SEM,TRUE,TRUE,TRUE,primary_latent_parcel_sem_cluster_course,ok,ind_social,:=,a_s*b,ind_social,0.16587398734992626,0.02172665188143098,7.634585773047387,2.264854970235319e-14,0.12329053215768213,0.2084574425421704,0.10594032762293323
Full linked LENS SEM,TRUE,TRUE,TRUE,primary_latent_parcel_sem_cluster_course,ok,ind_structural,:=,a_c*b,ind_structural,0.1201724320225474,0.02823816997528135,4.255673513111575,2.0842065642678875e-5,0.06482663588167567,0.17551822816341914,0.07349870505722637
