indirect_association,estimate,std_error,p_value
Post -> OLSE -> grade,0.15679794864119848,0.03447999810329637,5.428574422650101e-6
Mastery -> OLSE -> grade,0.08509044413866158,0.03369734851090263,0.01156529726507105
Social/vicarious -> OLSE -> grade,0.16587398734992626,0.02172665188143098,2.264854970235319e-14
Structural/compliance -> OLSE -> grade,0.1201724320225474,0.02823816997528135,2.0842065642678875e-5
