model,estimate,std_error,p_value
Course + term FE,0.37984961831564745,0.11809125179649148,0.00478484051662841
Grade z-score outcome,0.4776630243488835,0.148500411116338,0.00478484051662846
Course + term + instructor,0.3868498744358928,0.11895715393090515,0.00442576645703227
Course-term aggregate,0.3798496183156479,0.12263961911774442,0.00621614919887668
